run_id,model_name,item_id,raw_first_pass,parse_status_first,permissibility_first,negative_intended_first,confidence_first,rationale_first
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s00_cc_evitable_action_yes,"{
  ""permissibility_agreement"": 4,
  ""negative_outcome_intended_agreement"": 3,
  ""confidence"": 4,
  ""rationale_short"": ""The action improves the park, balancing inconvenience. Intention was not to cause harm.""
}",ok,4,3,4,"The action improves the park, balancing inconvenience. Intention was not to cause harm."
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s00_cc_evitable_prevention_no,"{
  ""permissibility_agreement"": 3,
  ""negative_outcome_intended_agreement"": 1,
  ""confidence"": 4,
  ""rationale_short"": ""Maya's action was neutral; she did not intend the negative outcome.""
}",ok,3,1,4,Maya's action was neutral; she did not intend the negative outcome.
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s00_cc_inevitable_action_yes,"{
  ""permissibility_agreement"": 4,
  ""negative_outcome_intended_agreement"": 1,
  ""confidence"": 4,
  ""rationale_short"": ""Maya's action was a response to city mandate, not personal choice. Intentional harm wasn't intended.""
}",ok,4,1,4,"Maya's action was a response to city mandate, not personal choice. Intentional harm wasn't intended."
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s00_cc_inevitable_prevention_no,"{
  ""permissibility_agreement"": 4,
  ""negative_outcome_intended_agreement"": 3,
  ""confidence"": 4,
  ""rationale_short"": ""Maya's action was permissible as she did not cause the negative outcome. The intention was not to harm.""
}",ok,4,3,4,Maya's action was permissible as she did not cause the negative outcome. The intention was not to harm.
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s00_coc_inevitable_prevention_no,"{
  ""permissibility_agreement"": 4,
  ""negative_outcome_intended_agreement"": 3,
  ""confidence"": 4,
  ""rationale_short"": ""Maya's action was permissible as she did not prevent the bike lane implementation. There's no evidence she intended the negative outcome.""
}",ok,4,3,4,Maya's action was permissible as she did not prevent the bike lane implementation. There's no evidence she intended the negative outcome.
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s00_coc_evitable_action_yes,"{
  ""permissibility_agreement"": 5,
  ""negative_outcome_intended_agreement"": 3,
  ""confidence"": 4,
  ""rationale_short"": ""Maya's goal was to improve cycling, not increase parking prices. The price increase was a side effect.""
}",ok,5,3,4,"Maya's goal was to improve cycling, not increase parking prices. The price increase was a side effect."
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s00_coc_evitable_prevention_no,"{
  ""permissibility_agreement"": 3,
  ""negative_outcome_intended_agreement"": 1,
  ""confidence"": 4,
  ""rationale_short"": ""Maya's action was neutral. She did not intend the negative outcome.""
}",ok,3,1,4,Maya's action was neutral. She did not intend the negative outcome.
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s00_coc_inevitable_action_yes,"{
  ""permissibility_agreement"": 5,
  ""negative_outcome_intended_agreement"": 3,
  ""confidence"": 4,
  ""rationale_short"": ""Maya's action aimed at a positive outcome. The negative outcome was not intended.""
}",ok,5,3,4,Maya's action aimed at a positive outcome. The negative outcome was not intended.
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s01_cc_evitable_action_yes,"{
  ""permissibility_agreement"": 3,
  ""negative_outcome_intended_agreement"": 1,
  ""confidence"": 4,
  ""rationale_short"": ""The downtime was unintended; upgrades often require temporary disruptions.""
}",ok,3,1,4,The downtime was unintended; upgrades often require temporary disruptions.
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s01_cc_evitable_prevention_no,"{
  ""permissibility_agreement"": 3,
  ""negative_outcome_intended_agreement"": 1,
  ""confidence"": 4,
  ""rationale_short"": ""Alejandro's action was neutral. He did not intend the negative outcome.""
}",ok,3,1,4,Alejandro's action was neutral. He did not intend the negative outcome.
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s01_cc_inevitable_action_yes,"{
  ""permissibility_agreement"": 4,
  ""negative_outcome_intended_agreement"": 1,
  ""confidence"": 4,
  ""rationale_short"": ""The upgrade was a proactive measure, not intended to cause harm.""
}",ok,4,1,4,"The upgrade was a proactive measure, not intended to cause harm."
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s01_cc_inevitable_prevention_no,"{
  ""permissibility_agreement"": 4,
  ""negative_outcome_intended_agreement"": 3,
  ""confidence"": 4,
  ""rationale_short"": ""Alejandro's action was reasonable, but he did not intend the negative outcome.""
}",ok,4,3,4,"Alejandro's action was reasonable, but he did not intend the negative outcome."
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s01_coc_evitable_action_yes,"{
  ""permissibility_agreement"": 4,
  ""negative_outcome_intended_agreement"": 3,
  ""confidence"": 4,
  ""rationale_short"": ""The upgrade benefits the environment, justifying the noise issue.""
}",ok,4,3,4,"The upgrade benefits the environment, justifying the noise issue."
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s01_coc_evitable_prevention_no,"{
  ""permissibility_agreement"": 3,
  ""negative_outcome_intended_agreement"": 1,
  ""confidence"": 4,
  ""rationale_short"": ""The upgrade benefits the environment, not intentionally causing noise.""
}",ok,3,1,4,"The upgrade benefits the environment, not intentionally causing noise."
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s01_coc_inevitable_action_yes,"{
  ""permissibility_agreement"": 4,
  ""negative_outcome_intended_agreement"": 3,
  ""confidence"": 4,
  ""rationale_short"": ""The upgrade was necessary for compliance and the noise was a side effect, not an intended negative outcome.""
}",ok,4,3,4,"The upgrade was necessary for compliance and the noise was a side effect, not an intended negative outcome."
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s01_coc_inevitable_prevention_no,"{
  ""permissibility_agreement"": 4,
  ""negative_outcome_intended_agreement"": 3,
  ""confidence"": 4,
  ""rationale_short"": ""The upgrade aligns with environmental goals, and there was no intent to cause disturbance.""
}",ok,4,3,4,"The upgrade aligns with environmental goals, and there was no intent to cause disturbance."
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s02_cc_evitable_action_yes,"{
  ""permissibility_agreement"": 4,
  ""negative_outcome_intended_agreement"": 3,
  ""confidence"": 4,
  ""rationale_short"": ""Amir's action aimed to help students, not harm. Attending earlier is a means, not an intended negative.""
}",ok,4,3,4,"Amir's action aimed to help students, not harm. Attending earlier is a means, not an intended negative."
pilot_qwen25_core80_1to5_minimal_v2,qwen2.5:7b-instruct,otr_s02_cc_evitable_prevention_no,"{
  ""permissibility_agreement"": 4,
  ""negative_outcome_intended_agreement"": 1,
  ""confidence"": 5,
  ""rationale_short"": ""Amir allowed the method, deeming it permissible. He did not intend harm.""
}",ok,4,1,5,"Amir allowed the method, deeming it permissible. He did not intend harm."
